date,state,location,fuel_type,price_cpl
2025-12-19,TAS,Devonport,p95,173.0
2025-12-19,TAS,Devonport,ulp91,162.1
2025-12-19,TAS,Hobart,diesel,163.8
2025-12-19,TAS,Hobart,p95,173.1
2025-12-19,TAS,Hobart,p98,189.0
2025-12-19,TAS,Hobart,ulp91,162.2
2025-12-19,VIC,Geelong,diesel,156.8
2025-12-19,VIC,Geelong,p95,164.0
2025-12-19,VIC,Geelong,p98,178.6
2025-12-19,VIC,Geelong,ulp91,155.6
2025-12-19,VIC,Melbourne,diesel,156.8
2025-12-19,VIC,Melbourne,e10,156.8
2025-12-19,VIC,Melbourne,p95,164.0
2025-12-19,VIC,Melbourne,p98,178.6
2025-12-19,VIC,Melbourne,ulp91,155.6
2025-12-19,WA,Broome,diesel,188.8
2025-12-19,WA,Broome,p95,211.4
2025-12-19,WA,Broome,ulp91,201.3
2025-12-19,WA,Cocos Island,diesel,208.5
2025-12-19,WA,Cocos Island,p95,374.2
2025-12-19,WA,Dampier,diesel,178.6
2025-12-19,WA,Esperance,diesel,161.5
2025-12-19,WA,King Bay,diesel,178.6
2025-12-19,WA,Perth,diesel,157.8
2025-12-19,WA,Perth,p95,169.9
2025-12-19,WA,Perth,p98,184.4
2025-12-19,WA,Perth,ulp91,157.5
2025-12-19,WA,Port Hedland,diesel,186.1
2025-12-19,WA,Port Hedland,ulp91,184.6
2025-12-20,NSW,Newcastle,diesel,156.9
2025-12-20,NSW,Sydney,diesel,156.9
2025-12-20,NSW,Sydney,e10,157.7
2025-12-20,NSW,Sydney,p95,165.8
2025-12-20,NSW,Sydney,p98,179.9
2025-12-20,NSW,Sydney,ulp91,157.2
2025-12-20,NT,Darwin,diesel,163.1
2025-12-20,NT,Darwin,p95,171.5
2025-12-20,NT,Darwin,ulp91,161.8
2025-12-20,QLD,Brisbane,b5,164.3
2025-12-20,QLD,Brisbane,diesel,155.6
2025-12-20,QLD,Brisbane,e10,156.7
2025-12-20,QLD,Brisbane,p95,163.9
2025-12-20,QLD,Brisbane,p98,178.2
2025-12-20,QLD,Brisbane,ulp91,155.5
2025-12-20,QLD,Cairns,diesel,161.1
2025-12-20,QLD,Cairns,p95,176.3
2025-12-20,QLD,Cairns,ulp91,161.8
2025-12-20,QLD,Gladstone,diesel,159.4
2025-12-20,QLD,Gladstone,p95,169.8
2025-12-20,QLD,Gladstone,ulp91,161.3
2025-12-20,QLD,Mackay,diesel,159.6
2025-12-20,QLD,Mackay,ulp91,161.9
2025-12-20,QLD,Townsville,diesel,160.6
2025-12-20,QLD,Townsville,p95,171.5
2025-12-20,QLD,Townsville,p98,188.6
2025-12-20,QLD,Townsville,ulp91,161.2
2025-12-20,QLD,Weipa,diesel,170.4
